areaCode,doro,gu,dong
12147.0,정릉로_A,성북구,종암동
12149.0,평창문화로,종로구,평창동
12154.0,보국문로11길,성북구,정릉3동
12156.0,동일로_Q,중랑구,묵2동
12157.0,도봉로_S,성북구,길음2동
12159.0,불광로_B,은평구,대조동
12161.0,평창11길,종로구,평창동
12165.0,용마산로115길_A,중랑구,망우본동
12166.0,망우로_A,중랑구,망우본동
12167.0,종암로_A,성북구,종암동
12168.0,중랑역로_E,중랑구,중화2동
12169.0,용마산로115길_B,중랑구,망우본동
12171.0,이문로30길_B,동대문구,이문1동
12172.0,종암로19길,성북구,종암동
12175.0,망우로_B,중랑구,상봉1동
12176.0,망우로_C,중랑구,망우본동
12178.0,망우로62길,중랑구,망우본동
12181.0,중랑역로_F,중랑구,중화2동
12185.0,망우로_E,중랑구,신내1동
12186.0,종암로_B,성북구,종암동
12188.0,은평로_C,은평구,신사1동
12192.0,동일로_R,중랑구,중화1동
12199.0,갈현로_D,은평구,신사1동
12200.0,동일로_V,중랑구,중화2동
12201.0,종암로_D,성북구,종암동
12203.0,망우로_F,중랑구,망우본동
12204.0,은평로11길,은평구,응암1동
12206.0,홍은중앙로,서대문구,홍제3동
12207.0,삼선교로_A,성북구,삼선동
12208.0,동소문로_C,성북구,삼선동
12210.0,용마산로_A,중랑구,면목3.8동
12211.0,증산로15길,은평구,증산동
12215.0,통일로_E,서대문구,홍제1동
12218.0,동소문로_D,성북구,삼선동
12222.0,보문로_B,성북구,삼선동
12223.0,보문로_C,성북구,삼선동
12224.0,봉우재로14길,중랑구,면목2동
12227.0,상봉로11길,중랑구,면목본동
12228.0,보문로30길,성북구,동선동
12229.0,응암로13길_A,은평구,응암3동
12230.0,동소문로6길,성북구,삼선동
12231.0,응암로_A,은평구,응암3동
12232.0,보문로_D,성북구,보문동
12233.0,가좌로,은평구,응암3동
12234.0,동소문로_E,성북구,삼선동
12236.0,동소문로_F,성북구,삼선동
12237.0,응암로4길,은평구,응암3동
12238.0,성북로,성북구,성북동
12240.0,면목로74길,중랑구,면목본동
12241.0,안암로_B,동대문구,제기동
12242.0,겸재로_A,중랑구,면목본동
12247.0,용마산로_B,중랑구,면목3.8동
12248.0,망우로21길,동대문구,휘경1동
12251.0,면목로_C,중랑구,상봉2동
12253.0,인왕시장길_A,서대문구,홍제3동
12254.0,망우로_H,중랑구,상봉2동
12255.0,동소문로_G,성북구,동선동
12257.0,망우로30길,중랑구,면목2동
12258.0,동소문로_H,성북구,동선동
